name,formula,category,subcategory,density,thermal_conductivity,yield_strength,tensile_strength,youngs_modulus,hardness_vickers,thermal_expansion,electrical_resistivity,notes,source,mp_material_id,fracture_toughness,weibull_modulus
Zr2Bi2O7,Zr2Bi2O7,Ceramic,Oxide,7.54,,,,,,,,JVASP-50396,JARVIS dft_3d (scraped),,,
WI3O,WI3O,Ceramic,Oxide,6.357,,,,,,,,JVASP-88009,JARVIS dft_3d (scraped),,,
Sr5P3ClO12,Sr5P3ClO12,Ceramic,Oxide,4.093,,,,,,,,JVASP-13907,JARVIS dft_3d (scraped),,,
Na2CoO3,Na2CoO3,Ceramic,Oxide,4.136,,,,,,,,JVASP-44064,JARVIS dft_3d (scraped),,,
RbHSeO4,RbHSeO4,Ceramic,Oxide,3.425,,,,,,,,JVASP-88825,JARVIS dft_3d (scraped),,,
FeO2,FeO2,Ceramic,Oxide,5.538,,,,361.7860412373302,,,,JVASP-42657,JARVIS dft_3d (scraped),,,
LuTaO4,LuTaO4,Ceramic,Oxide,9.769,,,,,,,,JVASP-4492,JARVIS dft_3d (scraped),,,
Ca4Al6SO12,Ca4Al6SO12,Ceramic,Oxide,2.442,,,,,,,,JVASP-97576,JARVIS dft_3d (scraped),,,
VH16C6N6O7F2,VH16C6N6O7F2,Ceramic,Oxide,1.774,,,,,,,,JVASP-98799,JARVIS dft_3d (scraped),,,
LiSmAlF6,LiSmAlF6,Ceramic,Mixed,4.366,,,,,,,,JVASP-13976,JARVIS dft_3d (scraped),,,
LiMnPO4,LiMnPO4,Ceramic,Oxide,3.268,,,,,,,,JVASP-52783,JARVIS dft_3d (scraped),,,
Co3OF5,Co3OF5,Ceramic,Oxide,4.78,,,,,,,,JVASP-44255,JARVIS dft_3d (scraped),,,
K2MnP2O7,K2MnP2O7,Ceramic,Oxide,3.165,,,,,,,,JVASP-98090,JARVIS dft_3d (scraped),,,
FeP3O9,FeP3O9,Ceramic,Oxide,3.056,,,,,,,,JVASP-48310,JARVIS dft_3d (scraped),,,
Sc3RhC4,Sc3RhC4,Ceramic,Carbide,5.086,,,,,,,,JVASP-91794,JARVIS dft_3d (scraped),,,
V4O3F9,V4O3F9,Ceramic,Oxide,3.528,,,,,,,,JVASP-42804,JARVIS dft_3d (scraped),,,
NaLi5N2,NaLi5N2,Ceramic,Nitride,1.45,,,,,,,,JVASP-86845,JARVIS dft_3d (scraped),,,
CoIN2O2,CoIN2O2,Ceramic,Oxide,3.325,,,,,,,,JVASP-97500,JARVIS dft_3d (scraped),,,
Na2TiO3,Na2TiO3,Ceramic,Oxide,3.533,,,,,,,,JVASP-52477,JARVIS dft_3d (scraped),,,
Li2CuO2,Li2CuO2,Ceramic,Oxide,3.682,,,,126.81528035358347,,,,JVASP-15431,JARVIS dft_3d (scraped),,,
Li3CoOF3,Li3CoOF3,Ceramic,Oxide,3.679,,,,,,,,JVASP-48462,JARVIS dft_3d (scraped),,,
LiFeCoO4,LiFeCoO4,Ceramic,Oxide,4.709,,,,,,,,JVASP-47623,JARVIS dft_3d (scraped),,,
BaNiF6,BaNiF6,Ceramic,Mixed,4.671,,,,71.9003782966899,,,,JVASP-85447,JARVIS dft_3d (scraped),,,
LiFe2O2F3,LiFe2O2F3,Ceramic,Oxide,3.685,,,,,,,,JVASP-42721,JARVIS dft_3d (scraped),,,
NdMgSi2,NdMgSi2,Ceramic,Mixed,4.434,,,,,,,,JVASP-86678,JARVIS dft_3d (scraped),,,
Ce2Nd2O7,Ce2Nd2O7,Ceramic,Oxide,6.6,,,,,,,,JVASP-49949,JARVIS dft_3d (scraped),,,
KGaCl4,KGaCl4,Ceramic,Mixed,2.468,,,,,,,,JVASP-97379,JARVIS dft_3d (scraped),,,
La4Ni3O8,La4Ni3O8,Ceramic,Oxide,6.945,,,,,,,,JVASP-86026,JARVIS dft_3d (scraped),,,
Mn6O7F5,Mn6O7F5,Ceramic,Oxide,4.628,,,,,,,,JVASP-42540,JARVIS dft_3d (scraped),,,
TbB3O6,TbB3O6,Ceramic,Oxide,4.82,,,,,,,,JVASP-88121,JARVIS dft_3d (scraped),,,
VOF3,VOF3,Ceramic,Oxide,3.236,,,,34.76379402077527,,,,JVASP-48645,JARVIS dft_3d (scraped),,,
Li2Mn2F7,Li2Mn2F7,Ceramic,Mixed,3.041,,,,,,,,JVASP-48922,JARVIS dft_3d (scraped),,,
RbAlO3,RbAlO3,Ceramic,Oxide,4.399,,,,,,,,JVASP-38346,JARVIS dft_3d (scraped),,,
LiYO3,LiYO3,Ceramic,Oxide,4.894,,,,,,,,JVASP-38540,JARVIS dft_3d (scraped),,,
Tl6TeO6,Tl6TeO6,Ceramic,Oxide,8.443,,,,22.67269623618301,,,,JVASP-4591,JARVIS dft_3d (scraped),,,
RePbClO4,RePbClO4,Ceramic,Oxide,6.767,,,,43.78547120418849,,,,JVASP-86570,JARVIS dft_3d (scraped),,,
RbF3,RbF3,Ceramic,Mixed,3.552,,,,11.570023436536326,,,,JVASP-38312,JARVIS dft_3d (scraped),,,
KH2I3O,KH2I3O,Ceramic,Oxide,3.771,,,,16.34862661902635,,,,JVASP-85785,JARVIS dft_3d (scraped),,,
HoCoSi2,HoCoSi2,Ceramic,Mixed,7.155,,,,,,,,JVASP-87103,JARVIS dft_3d (scraped),,,
RbLiO3,RbLiO3,Ceramic,Oxide,3.368,,,,13.020142180094789,,,,JVASP-38306,JARVIS dft_3d (scraped),,,
V2O3F,V2O3F,Ceramic,Oxide,4.459,,,,,,,,JVASP-42221,JARVIS dft_3d (scraped),,,
LiHS,LiHS,Ceramic,Mixed,1.436,,,,15.443950665622552,,,,JVASP-85713,JARVIS dft_3d (scraped),,,
MnSe2O6,MnSe2O6,Ceramic,Oxide,4.124,,,,81.51346008968609,,,,JVASP-87207,JARVIS dft_3d (scraped),,,
